accuracy,precision_pos,recall_pos,f1_pos,auc_roc,confusion_matrix,model,threshold
0.8715596330275229,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.9505327245053273,"[[63, 10], [4, 32]]",Random Forest,0.3
0.8899082568807339,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9505327245053273,"[[67, 6], [6, 30]]",Random Forest,0.35
0.9174311926605505,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9505327245053273,"[[70, 3], [6, 30]]",Random Forest,0.4
0.926605504587156,0.9375,0.8333333333333334,0.8823529411764706,0.9505327245053273,"[[71, 2], [6, 30]]",Random Forest,0.45
0.9357798165137615,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9505327245053273,"[[72, 1], [6, 30]]",Random Forest,0.5
0.9357798165137615,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9505327245053273,"[[72, 1], [6, 30]]",Random Forest,0.55
0.944954128440367,1.0,0.8333333333333334,0.9090909090909091,0.9505327245053273,"[[73, 0], [6, 30]]",Random Forest,0.6
0.908256880733945,1.0,0.7222222222222222,0.8387096774193549,0.9505327245053273,"[[73, 0], [10, 26]]",Random Forest,0.65
0.908256880733945,1.0,0.7222222222222222,0.8387096774193549,0.9505327245053273,"[[73, 0], [10, 26]]",Random Forest,0.7
0.908256880733945,0.825,0.9166666666666666,0.868421052631579,0.9613774733637748,"[[66, 7], [3, 33]]",KNN,0.25
0.908256880733945,0.825,0.9166666666666666,0.868421052631579,0.9613774733637748,"[[66, 7], [3, 33]]",KNN,0.3
0.908256880733945,0.825,0.9166666666666666,0.868421052631579,0.9613774733637748,"[[66, 7], [3, 33]]",KNN,0.35
0.908256880733945,0.825,0.9166666666666666,0.868421052631579,0.9613774733637748,"[[66, 7], [3, 33]]",KNN,0.4
0.908256880733945,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9613774733637748,"[[71, 2], [8, 28]]",KNN,0.45
0.908256880733945,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9613774733637748,"[[71, 2], [8, 28]]",KNN,0.5
0.908256880733945,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9613774733637748,"[[71, 2], [8, 28]]",KNN,0.55
0.908256880733945,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9613774733637748,"[[71, 2], [8, 28]]",KNN,0.6
0.8532110091743119,0.9545454545454546,0.5833333333333334,0.7241379310344828,0.9613774733637748,"[[72, 1], [15, 21]]",KNN,0.65
0.8532110091743119,0.9545454545454546,0.5833333333333334,0.7241379310344828,0.9613774733637748,"[[72, 1], [15, 21]]",KNN,0.7
